id,polygon,income,household_size,vehicles,number_of_workers
0,"POLYGON ((-9236555.662759708 4857526.144914491, -9236575.662759708 4857546.144914491, -9236595.662759708 4857526.144914491, -9236555.662759708 4857526.144914491, -9236595.662759708 4857526.144914491, -9236595.662759708 4857496.144914491, -9236580.662759708 4857496.144914491, -9236580.662759708 4857511.144914491, -9236570.662759708 4857511.144914491, -9236570.662759708 4857496.144914491, -9236580.662759708 4857496.144914491, -9236555.662759708 4857496.144914491, -9236555.662759708 4857526.144914491))",182000,1,0,1
1,"POLYGON ((-9236555.980368748 4857668.542330052, -9236575.980368748 4857688.542330052, -9236595.980368748 4857668.542330052, -9236555.980368748 4857668.542330052, -9236595.980368748 4857668.542330052, -9236595.980368748 4857638.542330052, -9236580.980368748 4857638.542330052, -9236580.980368748 4857653.542330052, -9236570.980368748 4857653.542330052, -9236570.980368748 4857638.542330052, -9236580.980368748 4857638.542330052, -9236555.980368748 4857638.542330052, -9236555.980368748 4857668.542330052))",43000,3,1,1
2,"POLYGON ((-9236508.49772971 4857670.367389686, -9236528.49772971 4857690.367389686, -9236548.49772971 4857670.367389686, -9236508.49772971 4857670.367389686, -9236548.49772971 4857670.367389686, -9236548.49772971 4857640.367389686, -9236533.49772971 4857640.367389686, -9236533.49772971 4857655.367389686, -9236523.49772971 4857655.367389686, -9236523.49772971 4857640.367389686, -9236533.49772971 4857640.367389686, -9236508.49772971 4857640.367389686, -9236508.49772971 4857670.367389686))",32000,4,1,1
3,"POLYGON ((-9236479.155584091 4857621.735928813, -9236499.155584091 4857641.735928813, -9236519.155584091 4857621.735928813, -9236479.155584091 4857621.735928813, -9236519.155584091 4857621.735928813, -9236519.155584091 4857591.735928813, -9236504.155584091 4857591.735928813, -9236504.155584091 4857606.735928813, -9236494.155584091 4857606.735928813, -9236494.155584091 4857591.735928813, -9236504.155584091 4857591.735928813, -9236479.155584091 4857591.735928813, -9236479.155584091 4857621.735928813))",24000,1,1,0
4,"POLYGON ((-9236431.46690243 4857676.04016872, -9236451.46690243 4857696.04016872, -9236471.46690243 4857676.04016872, -9236431.46690243 4857676.04016872, -9236471.46690243 4857676.04016872, -9236471.46690243 4857646.04016872, -9236456.46690243 4857646.04016872, -9236456.46690243 4857661.04016872, -9236446.46690243 4857661.04016872, -9236446.46690243 4857646.04016872, -9236456.46690243 4857646.04016872, -9236431.46690243 4857646.04016872, -9236431.46690243 4857676.04016872))",83000,1,1,0
5,"POLYGON ((-9236557.849717272 4857418.008073593, -9236577.849717272 4857438.008073593, -9236597.849717272 4857418.008073593, -9236557.849717272 4857418.008073593, -9236597.849717272 4857418.008073593, -9236597.849717272 4857388.008073593, -9236582.849717272 4857388.008073593, -9236582.849717272 4857403.008073593, -9236572.849717272 4857403.008073593, -9236572.849717272 4857388.008073593, -9236582.849717272 4857388.008073593, -9236557.849717272 4857388.008073593, -9236557.849717272 4857418.008073593))",91000,3,3,1
6,"POLYGON ((-9236513.718491372 4857476.422392127, -9236533.718491372 4857496.422392127, -9236553.718491372 4857476.422392127, -9236513.718491372 4857476.422392127, -9236553.718491372 4857476.422392127, -9236553.718491372 4857446.422392127, -9236538.718491372 4857446.422392127, -9236538.718491372 4857461.422392127, -9236528.718491372 4857461.422392127, -9236528.718491372 4857446.422392127, -9236538.718491372 4857446.422392127, -9236513.718491372 4857446.422392127, -9236513.718491372 4857476.422392127))",38000,1,1,1
7,"POLYGON ((-9236519.58649742 4857378.197349197, -9236539.58649742 4857398.197349197, -9236559.58649742 4857378.197349197, -9236519.58649742 4857378.197349197, -9236559.58649742 4857378.197349197, -9236559.58649742 4857348.197349197, -9236544.58649742 4857348.197349197, -9236544.58649742 4857363.197349197, -9236534.58649742 4857363.197349197, -9236534.58649742 4857348.197349197, -9236544.58649742 4857348.197349197, -9236519.58649742 4857348.197349197, -9236519.58649742 4857378.197349197))",30000,3,1,2
8,"POLYGON ((-9236542.610959668 4857594.218483853, -9236562.610959668 4857614.218483853, -9236582.610959668 4857594.218483853, -9236542.610959668 4857594.218483853, -9236582.610959668 4857594.218483853, -9236582.610959668 4857564.218483853, -9236567.610959668 4857564.218483853, -9236567.610959668 4857579.218483853, -9236557.610959668 4857579.218483853, -9236557.610959668 4857564.218483853, -9236567.610959668 4857564.218483853, -9236542.610959668 4857564.218483853, -9236542.610959668 4857594.218483853))",22000,3,1,2
9,"POLYGON ((-9236501.495561115 4857570.269897882, -9236521.495561115 4857590.269897882, -9236541.495561115 4857570.269897882, -9236501.495561115 4857570.269897882, -9236541.495561115 4857570.269897882, -9236541.495561115 4857540.269897882, -9236526.495561115 4857540.269897882, -9236526.495561115 4857555.269897882, -9236516.495561115 4857555.269897882, -9236516.495561115 4857540.269897882, -9236526.495561115 4857540.269897882, -9236501.495561115 4857540.269897882, -9236501.495561115 4857570.269897882))",45000,4,0,3
